"filename", "language", "YAML", "Markdown", "HTML", "TypeScript", "CSV", "Skill", "Python", "JSON", "PowerShell", "Groovy", "JavaScript", "PostCSS", "C#", "XML", "ASP.NET Razor", "censitive", "Mermaid Radar", "comment", "blank", "total"
"d:\workshops\eShop\.github\skills\bmad-cis-agent-storyteller\SKILL.md", "Skill", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 57
"d:\workshops\eShop\.github\skills\bmad-cis-agent-storyteller\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-cis-agent-storyteller\stories-told.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8
"d:\workshops\eShop\.github\skills\bmad-cis-agent-storyteller\story-preferences.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8
"d:\workshops\eShop\.github\skills\bmad-cis-design-thinking\SKILL.md", "Skill", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-cis-design-thinking\bmad-skill-manifest.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\workshops\eShop\.github\skills\bmad-cis-design-thinking\design-methods.csv", "CSV", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"d:\workshops\eShop\.github\skills\bmad-cis-design-thinking\template.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 112
"d:\workshops\eShop\.github\skills\bmad-cis-design-thinking\workflow.md", "Markdown", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 242
"d:\workshops\eShop\.github\skills\bmad-cis-innovation-strategy\SKILL.md", "Skill", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-cis-innovation-strategy\bmad-skill-manifest.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\workshops\eShop\.github\skills\bmad-cis-innovation-strategy\innovation-frameworks.csv", "CSV", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"d:\workshops\eShop\.github\skills\bmad-cis-innovation-strategy\template.md", "Markdown", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 190
"d:\workshops\eShop\.github\skills\bmad-cis-innovation-strategy\workflow.md", "Markdown", 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 315
"d:\workshops\eShop\.github\skills\bmad-cis-problem-solving\SKILL.md", "Skill", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-cis-problem-solving\bmad-skill-manifest.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\workshops\eShop\.github\skills\bmad-cis-problem-solving\solving-methods.csv", "CSV", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"d:\workshops\eShop\.github\skills\bmad-cis-problem-solving\template.md", "Markdown", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 166
"d:\workshops\eShop\.github\skills\bmad-cis-problem-solving\workflow.md", "Markdown", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 291
"d:\workshops\eShop\.github\skills\bmad-cis-storytelling\SKILL.md", "Skill", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-cis-storytelling\bmad-skill-manifest.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\workshops\eShop\.github\skills\bmad-cis-storytelling\story-types.csv", "CSV", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"d:\workshops\eShop\.github\skills\bmad-cis-storytelling\template.md", "Markdown", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 114
"d:\workshops\eShop\.github\skills\bmad-cis-storytelling\workflow.md", "Markdown", 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 321
"d:\workshops\eShop\.github\skills\bmad-code-review\SKILL.md", "Skill", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workshops\eShop\.github\skills\bmad-code-review\steps\step-01-gather-context.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 63
